package;test_class;test_case;suite;device;result
com.fsck.k9.debug;MessageOperationsTest;testReply;original;nexus_one;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;nexus_one;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;nexus_one;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;nexus_one;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;nexus_one;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;nexus_one;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;nexus_one;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;nexus_one;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;nexus_one;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;nexus_one;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;nexus_one;fail
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;nexus_one;fail
com.fsck.k9.debug;SendMessagesTest;testDraftSend;original;nexus_one;fail
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;nexus_one;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;nexus_4;fail
com.fsck.k9.debug;VariousMenuTest;testSettings;original;nexus_4;fail
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;nexus_4;fail
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;nexus_4;fail
com.fsck.k9.debug;VariousMenuTest;testAbout;original;nexus_4;fail
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;nexus_4;fail
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;nexus_4;fail
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;nexus_4;fail
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;nexus_4;fail
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;nexus_4;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;nexus_4;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;nexus_4;fail
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;nexus_4;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;nexus_4;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;nexus_4;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;nexus_4;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;nexus_4;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;nexus_4;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;nexus_4;fail
com.fsck.k9.debug;SendMessagesTest;testSentmessage;original;nexus_4;fail
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;nexus_4;fail
com.fsck.k9.debug;SendMessagesTest;testDraftSend;original;nexus_4;fail
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;nexus_4;fail
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;original;nexus_4;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;nexus_4;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;nexus_4;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;original;nexus_4;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;nexus_4;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;nexus_4;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;nexus_4;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;nexus_5;fail
com.fsck.k9.debug;VariousMenuTest;testSettings;original;nexus_5;fail
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;nexus_5;fail
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;nexus_5;fail
com.fsck.k9.debug;VariousMenuTest;testAbout;original;nexus_5;fail
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;nexus_5;fail
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;nexus_5;fail
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;nexus_5;fail
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;nexus_5;fail
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;nexus_5;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;nexus_5;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;nexus_5;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;nexus_5;fail
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;original;nexus_5;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;nexus_5;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;nexus_5;fail
com.fsck.k9.debug;MessageOperationsTest;testReply;original;nexus_5;fail
