Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;8;fail;5214;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;9;fail;5240;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;10;fail;5160;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;1;fail;11862;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;2;pass;7882;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;3;fail;11450;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;4;pass;7699;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;5;fail;11445;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;6;pass;7757;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;7;fail;11450;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;8;pass;7755;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;9;pass;7748;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;10;pass;7626;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;1;pass;8638;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;2;pass;7636;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;3;pass;7613;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;4;pass;7919;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;5;pass;7673;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;6;pass;7639;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;7;pass;7973;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;8;pass;7555;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;9;pass;7938;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;10;pass;7900;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;1;pass;8467;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;2;fail;11432;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;3;pass;7922;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;4;pass;8325;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;5;pass;7884;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;6;pass;7819;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;7;pass;7837;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;8;pass;7850;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;9;pass;8301;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;10;pass;7863;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;1;pass;9133;5
