Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;8;pass;12826;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;9;pass;12502;4
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;10;pass;12501;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;1;pass;15360;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;2;pass;15372;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;3;pass;15057;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;4;pass;15814;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;5;pass;15682;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;6;pass;15588;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;7;pass;15657;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;8;pass;15571;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;9;pass;15233;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;10;pass;15529;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;1;pass;15986;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;2;pass;15472;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;3;pass;15167;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;4;pass;15541;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;5;pass;15704;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;6;pass;15500;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;7;pass;15396;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;8;pass;16077;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;9;pass;15757;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;10;pass;15483;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;1;pass;15669;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;2;pass;15579;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;3;pass;15434;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;4;pass;15653;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;5;pass;16146;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;6;pass;15768;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;7;pass;15617;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;8;pass;15890;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;9;pass;15801;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;10;pass;15410;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;1;pass;15266;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;2;pass;15867;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;3;pass;15386;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;4;pass;15092;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;5;pass;15754;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;6;pass;15820;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;7;pass;15377;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;8;pass;15573;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;9;pass;16007;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;10;pass;15591;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;1;pass;17343;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;2;pass;17355;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;3;pass;17017;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;4;pass;17190;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;5;pass;16903;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;6;pass;17301;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;7;pass;17705;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;8;pass;17500;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;9;pass;17573;6
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;10;pass;17365;6
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;1;fail;20060:4
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;2;fail;15000;2
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;3;fail;18825;3
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;4;fail;15207;2
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;5;pass;25255;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;6;fail;14973;2
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;7;pass;25976;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;8;fail;14731;2
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;9;pass;25680;8
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;10;fail;18826;3
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;1;pass;24759;10
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;2;pass;24942;10
