Package;Class;Case;Execution;Result;TotalTime;NumInteractions
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;8;fail;6148;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;9;fail;6171;0
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;10;fail;6228;0
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;1;pass;17373;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;2;pass;18056;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;3;pass;17946;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;4;pass;18581;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;5;pass;18674;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;6;pass;17976;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;7;pass;18466;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;8;pass;18084;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;9;pass;18242;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;10;fail;20530;4
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;1;pass;15919;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;2;pass;16643;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;3;pass;16627;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;4;pass;16840;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;5;pass;16372;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;6;pass;16694;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;7;pass;16679;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;8;pass;16709;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;9;pass;16793;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;10;pass;16320;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;1;pass;16653;5
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;2;pass;16735;5
